2026-02-20 10:00:45 | SCHEMA_ANALYSIS | Total: 2629  (P: 2035 , C: 594  ) | Model: deepseek-chat   | Q: who is the top 5 perfromer in java programming?...
2026-02-23 11:11:23 | SCHEMA_ANALYSIS | Total: 3854  (Input: 3560  (Schema: ~2327, System: ~2358, Q: ~11), Output: 294  ) | Model: deepseek-chat   | Q: which college i am from 25SC066@skcet.ac.in?...
2026-02-23 11:11:25 | SQL_GENERATION  | Total: 7549  (Input: 7487  (Schema: ~3546, System: ~0, Q: ~11), Output: 62   ) | Model: deepseek-chat   | Q: which college i am from 25SC066@skcet.ac.in?...
2026-02-23 11:11:30 | FOLLOW_UPS      | Total: 155   (Input: 106   (Context: ~50, DataPreview: ~20), Output: 49   ) | Model: deepseek-chat   | Q: which college i am from 25SC066@skcet.ac.in?...
2026-02-23 11:15:43 | SCHEMA_ANALYSIS | Total: 3884  (Input: 3551  (Schema: ~2327, System: ~2358, Q: ~6), Output: 333  ) | Model: deepseek-chat   | Q: who is the best trainer??...
2026-02-23 11:15:52 | SQL_GENERATION  | Total: 8326  (Input: 7948  (Schema: ~3940, System: ~0, Q: ~6), Output: 378  ) | Model: deepseek-chat   | Q: who is the best trainer??...
2026-02-23 11:15:55 | FOLLOW_UPS      | Total: 149   (Input: 99    (Context: ~50, DataPreview: ~20), Output: 50   ) | Model: deepseek-chat   | Q: who is the best trainer??...
2026-02-23 11:19:18 | SCHEMA_ANALYSIS | Total: 3843  (Input: 3560  (Schema: ~2327, System: ~2358, Q: ~13), Output: 283  ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:19:22 | SQL_GENERATION  | Total: 11130 (Input: 11070 (Schema: ~6955, System: ~0, Q: ~13), Output: 60   ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:19:24 | FOLLOW_UPS      | Total: 165   (Input: 108   (Context: ~50, DataPreview: ~20), Output: 57   ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:20:21 | SCHEMA_ANALYSIS | Total: 3833  (Input: 3560  (Schema: ~2327, System: ~2358, Q: ~13), Output: 273  ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:20:24 | SQL_GENERATION  | Total: 11119 (Input: 11060 (Schema: ~6955, System: ~0, Q: ~13), Output: 59   ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:20:26 | FOLLOW_UPS      | Total: 167   (Input: 108   (Context: ~50, DataPreview: ~20), Output: 59   ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:22:43 | SCHEMA_ANALYSIS | Total: 3833  (Input: 3560  (Schema: ~2327, System: ~2358, Q: ~13), Output: 273  ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:22:46 | SQL_GENERATION  | Total: 11119 (Input: 11060 (Schema: ~6955, System: ~0, Q: ~13), Output: 59   ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:22:49 | FOLLOW_UPS      | Total: 167   (Input: 108   (Context: ~50, DataPreview: ~20), Output: 59   ) | Model: deepseek-chat   | Q: how many courses are entrolled in Karthick@amypo.i...
2026-02-23 11:23:33 | SCHEMA_ANALYSIS | Total: 3896  (Input: 3552  (Schema: ~2327, System: ~2358, Q: ~10), Output: 344  ) | Model: deepseek-chat   | Q: what are the technology courses we have?...
2026-02-23 11:23:37 | SQL_GENERATION  | Total: 11408 (Input: 11292 (Schema: ~7113, System: ~0, Q: ~10), Output: 116  ) | Model: deepseek-chat   | Q: what are the technology courses we have?...
2026-02-23 11:23:40 | FOLLOW_UPS      | Total: 145   (Input: 100   (Context: ~50, DataPreview: ~20), Output: 45   ) | Model: deepseek-chat   | Q: what are the technology courses we have?...
2026-02-23 11:31:42 | SCHEMA_ANALYSIS | Total: 3836  (Input: 3551  (Schema: ~2327, System: ~2358, Q: ~7), Output: 285  ) | Model: deepseek-chat   | Q: how many course are entrolled?...
2026-02-23 11:31:45 | SQL_GENERATION  | Total: 9898  (Input: 9852  (Schema: ~6955, System: ~0, Q: ~7), Output: 46   ) | Model: deepseek-chat   | Q: how many course are entrolled?...
2026-02-23 11:31:49 | FOLLOW_UPS      | Total: 108   (Input: 78    (Context: ~50, DataPreview: ~20), Output: 30   ) | Model: deepseek-chat   | Q: how many course are entrolled?...
2026-02-23 11:32:32 | SCHEMA_ANALYSIS | Total: 3843  (Input: 3551  (Schema: ~2327, System: ~2358, Q: ~7), Output: 292  ) | Model: deepseek-chat   | Q: how many course are entrolled?...
2026-02-23 11:32:35 | SQL_GENERATION  | Total: 9932  (Input: 9859  (Schema: ~6955, System: ~0, Q: ~7), Output: 73   ) | Model: deepseek-chat   | Q: how many course are entrolled?...
2026-02-23 11:32:37 | FOLLOW_UPS      | Total: 109   (Input: 78    (Context: ~50, DataPreview: ~20), Output: 31   ) | Model: deepseek-chat   | Q: how many course are entrolled?...
2026-02-23 11:33:03 | SCHEMA_ANALYSIS | Total: 3834  (Input: 3548  (Schema: ~2327, System: ~2358, Q: ~2), Output: 286  ) | Model: deepseek-chat   | Q: who am i?...
2026-02-23 11:33:09 | SQL_GENERATION  | Total: 10095 (Input: 9847  (Schema: ~6955, System: ~0, Q: ~2), Output: 248  ) | Model: deepseek-chat   | Q: who am i?...
2026-02-23 11:33:11 | FOLLOW_UPS      | Total: 110   (Input: 73    (Context: ~50, DataPreview: ~20), Output: 37   ) | Model: deepseek-chat   | Q: who am i?...
2026-02-23 11:34:27 | SCHEMA_ANALYSIS | Total: 4236  (Input: 3558  (Schema: ~2327, System: ~2358, Q: ~13), Output: 678  ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 11:34:42 | SQL_GENERATION  | Total: 31234 (Input: 30697 (Schema: ~24297, System: ~0, Q: ~13), Output: 537  ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 11:48:35 | SCHEMA_ANALYSIS | Total: 4303  (Input: 3558  (Schema: ~2327, System: ~2358, Q: ~13), Output: 745  ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 11:49:10 | SQL_GENERATION  | Total: 27867 (Input: 26178 (Schema: ~20550, System: ~0, Q: ~13), Output: 1689 ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 11:58:09 | SCHEMA_ANALYSIS | Total: 4256  (Input: 3558  (Schema: ~2327, System: ~2358, Q: ~13), Output: 698  ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 11:58:37 | SQL_GENERATION  | Total: 27578 (Input: 26254 (Schema: ~20550, System: ~0, Q: ~13), Output: 1324 ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 12:08:56 | SCHEMA_ANALYSIS | Total: 4213  (Input: 3558  (Schema: ~2327, System: ~2358, Q: ~13), Output: 655  ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 12:09:00 | SQL_GENERATION  | Total: 26343 (Input: 26211 (Schema: ~20550, System: ~0, Q: ~13), Output: 132  ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 12:09:05 | FOLLOW_UPS      | Total: 164   (Input: 104   (Context: ~50, DataPreview: ~20), Output: 60   ) | Model: deepseek-chat   | Q: what are the improvement i need to develope my com...
2026-02-23 12:11:36 | SCHEMA_ANALYSIS | Total: 3854  (Input: 3552  (Schema: ~2327, System: ~2358, Q: ~7), Output: 302  ) | Model: deepseek-chat   | Q: who are the trainers for skct?...
2026-02-23 12:11:41 | SQL_GENERATION  | Total: 8068  (Input: 7908  (Schema: ~3706, System: ~0, Q: ~7), Output: 160  ) | Model: deepseek-chat   | Q: who are the trainers for skct?...
2026-02-23 12:11:43 | FOLLOW_UPS      | Total: 147   (Input: 98    (Context: ~50, DataPreview: ~20), Output: 49   ) | Model: deepseek-chat   | Q: who are the trainers for skct?...
2026-02-23 12:12:47 | SCHEMA_ANALYSIS | Total: 3946  (Input: 3554  (Schema: ~2327, System: ~2358, Q: ~11), Output: 392  ) | Model: deepseek-chat   | Q: who are the trainers are allocated for srec?...
2026-02-23 12:12:52 | SQL_GENERATION  | Total: 12614 (Input: 12467 (Schema: ~7958, System: ~0, Q: ~11), Output: 147  ) | Model: deepseek-chat   | Q: who are the trainers are allocated for srec?...
2026-02-23 12:12:55 | FOLLOW_UPS      | Total: 150   (Input: 100   (Context: ~50, DataPreview: ~20), Output: 50   ) | Model: deepseek-chat   | Q: who are the trainers are allocated for srec?...
2026-02-23 12:13:24 | SCHEMA_ANALYSIS | Total: 3878  (Input: 3553  (Schema: ~2327, System: ~2358, Q: ~10), Output: 325  ) | Model: deepseek-chat   | Q: what the courses are allocated for srec?...
2026-02-23 12:13:32 | SQL_GENERATION  | Total: 11620 (Input: 11341 (Schema: ~6955, System: ~0, Q: ~10), Output: 279  ) | Model: deepseek-chat   | Q: what the courses are allocated for srec?...
2026-02-23 12:13:34 | FOLLOW_UPS      | Total: 165   (Input: 101   (Context: ~50, DataPreview: ~20), Output: 64   ) | Model: deepseek-chat   | Q: what the courses are allocated for srec?...
2026-02-23 12:15:35 | SCHEMA_ANALYSIS | Total: 3892  (Input: 3557  (Schema: ~2327, System: ~2358, Q: ~12), Output: 335  ) | Model: deepseek-chat   | Q: so far how many assesments are conducted for srec?...
2026-02-23 12:15:39 | SQL_GENERATION  | Total: 12308 (Input: 12231 (Schema: ~7799, System: ~0, Q: ~12), Output: 77   ) | Model: deepseek-chat   | Q: so far how many assesments are conducted for srec?...
2026-02-23 12:15:41 | FOLLOW_UPS      | Total: 165   (Input: 103   (Context: ~50, DataPreview: ~20), Output: 62   ) | Model: deepseek-chat   | Q: so far how many assesments are conducted for srec?...
2026-02-23 12:17:25 | SCHEMA_ANALYSIS | Total: 3824  (Input: 3549  (Schema: ~2327, System: ~2358, Q: ~3), Output: 275  ) | Model: deepseek-chat   | Q: whst is java...
2026-02-23 12:17:39 | SQL_GENERATION  | Total: 13516 (Input: 12871 (Schema: ~8339, System: ~0, Q: ~3), Output: 645  ) | Model: deepseek-chat   | Q: whst is java...
2026-02-23 12:17:42 | FOLLOW_UPS      | Total: 160   (Input: 95    (Context: ~50, DataPreview: ~20), Output: 65   ) | Model: deepseek-chat   | Q: whst is java...
2026-02-23 12:58:06 | SCHEMA_ANALYSIS | Total: 3832  (Input: 3549  (Schema: ~2327, System: ~2358, Q: ~3), Output: 283  ) | Model: deepseek-chat   | Q: whst is java...
2026-02-23 12:58:08 | SQL_GENERATION  | Total: 11439 (Input: 11434 (Schema: ~8339, System: ~0, Q: ~3), Output: 5    ) | Model: deepseek-chat   | Q: whst is java...
2026-02-23 13:01:01 | SCHEMA_ANALYSIS | Total: 3748  (Input: 3551  (Schema: ~2327, System: ~2358, Q: ~4), Output: 197  ) | Model: deepseek-chat   | Q: who is abdul kalam?...
2026-02-23 13:01:02 | SQL_GENERATION  | Total: 6177  (Input: 6172  (Schema: ~3546, System: ~0, Q: ~4), Output: 5    ) | Model: deepseek-chat   | Q: who is abdul kalam?...
2026-02-23 13:01:47 | SCHEMA_ANALYSIS | Total: 3855  (Input: 3551  (Schema: ~2327, System: ~2358, Q: ~7), Output: 304  ) | Model: deepseek-chat   | Q: what are the courses are there?...
2026-02-23 13:01:49 | SQL_GENERATION  | Total: 10105 (Input: 10079 (Schema: ~7141, System: ~0, Q: ~7), Output: 26   ) | Model: deepseek-chat   | Q: what are the courses are there?...
2026-02-23 13:01:51 | FOLLOW_UPS      | Total: 105   (Input: 78    (Context: ~50, DataPreview: ~20), Output: 27   ) | Model: deepseek-chat   | Q: what are the courses are there?...
